Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Power,Seats,New_Price,Price,Engine,Model,Brand,Mileage_Unit,Mileage_Clean
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,126.2,5.0,1621000.0,12.5,1.6,Hyundai Creta,Hyundai,kmpl,19.67
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,88.7,5.0,861000.0,4.5,1.2,Honda Jazz,Honda,km/kg,13.0
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,88.76,7.0,1144000.0,6.0,1.2,Maruti Ertiga,Maruti,kmpl,20.77
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,140.8,5.0,5314000.0,17.74,2.0,Audi A4,Audi,kmpl,15.2
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,63.1,5.0,948000.0,3.5,1.5,Nissan Micra,Nissan,kmpl,23.08
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,171.5,8.0,2100000.0,17.5,2.8,Toyota Innova,Toyota,kmpl,11.36
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,103.6,5.0,1163500.0,5.2,1.6,Volkswagen Vento,Volkswagen,kmpl,20.54
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,74.0,5.0,777000.0,1.95,1.2,Tata Indica,Tata,kmpl,22.3
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,103.25,5.0,1065000.0,9.95,1.5,Maruti Ciaz,Maruti,kmpl,21.56
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,116.3,5.0,1268000.0,4.49,1.5,Honda City,Honda,kmpl,16.8
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,74.0,5.0,750500.0,5.6,1.2,Maruti Swift,Maruti,kmpl,25.2
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,187.7,5.0,13300000.0,27.0,2.2,Land Rover,Land,kmpl,12.7
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,115.0,5.0,13300000.0,17.5,2.2,Land Rover,Land,kmpl,0.0
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,175.56,7.0,3201000.0,15.0,2.5,Mitsubishi Pajero,Mitsubishi,kmpl,13.5
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,98.6,5.0,853999.9999999999,5.4,1.5,Honda Amaze,Honda,kmpl,25.8
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,74.0,5.0,792000.0,5.99,1.2,Maruti Swift,Maruti,kmpl,28.4
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,83.8,5.0,1501000.0,6.34,1.5,Renault Duster,Renault,kmpl,20.45
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,167.62,5.0,4949000.0,28.0,2.1,Mercedes-Benz New,Mercedes-Benz,kmpl,14.84
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,190.0,5.0,4787000.0,18.55,2.0,BMW 3,BMW,kmpl,22.69
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,88.5,5.0,792000.0,8.25,1.2,Maruti S,Maruti,kmpl,23.65
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,177.01,5.0,6767000.0,23.5,2.0,Audi A6,Audi,kmpl,13.53
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,80.0,5.0,974000.0,1.87,1.2,Hyundai i20,Hyundai,kmpl,18.5
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,103.6,5.0,1163500.0,2.85,1.6,Volkswagen Vento,Volkswagen,kmpl,14.4
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,116.3,5.0,1268000.0,4.25,1.5,Honda City,Honda,kmpl,16.8
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,63.1,5.0,948000.0,4.25,1.5,Nissan Micra,Nissan,km/kg,16.48
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,67.1,5.0,448000.00000000006,2.75,1.0,Maruti Alto,Maruti,kmpl,20.92
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,88.7,5.0,1057000.0,9.9,1.2,Honda WRV,Honda,kmpl,17.5
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,102.0,7.0,2354000.0,4.0,2.5,Toyota Innova,Toyota,kmpl,12.8
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,108.45,5.0,1501000.0,7.75,1.5,Renault Duster,Renault,kmpl,19.01
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,138.1,5.0,2169000.0,6.75,1.8,Toyota Corolla,Toyota,kmpl,14.53
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,184.0,7.0,1639999.9999999998,12.5,2.7,Mahindra Ssangyong,Mahindra,kmpl,11.18
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,179.5,5.0,6324000.0,11.5,2.7,Audi A6,Audi,kmpl,12.4
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,103.5,5.0,1233000.0,6.98,1.6,Volkswagen Vento,Volkswagen,kmpl,16.09
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,64.0,5.0,531500.0,1.85,1.1,Maruti Wagon,Maruti,kmpl,14.0
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,88.5,5.0,1112000.0,8.63,1.2,Maruti Vitara,Maruti,kmpl,24.3
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,82.0,5.0,735000.0,4.85,1.2,Mahindra KUV,Mahindra,kmpl,18.15
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,254.8,5.0,4949000.0,28.0,3.0,Mercedes-Benz M-Class,Mercedes-Benz,kmpl,11.74
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,73.9,5.0,1126000.0,5.0,1.2,Volkswagen Polo,Volkswagen,kmpl,22.07
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,46.3,5.0,448000.00000000006,1.25,0.8,Maruti Alto,Maruti,kmpl,19.7
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,37.5,4.0,777000.0,1.53,0.6,Tata Nano,Tata,kmpl,25.4
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,77.0,6.0,735000.0,5.58,1.2,Mahindra KUV,Mahindra,kmpl,25.32
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,82.9,5.0,974000.0,4.74,1.2,Hyundai i20,Hyundai,kmpl,18.5
